year,enso_phase,annual_precip_mm,total_flood_area_km2
2015,El Nino,2849.352012985193,498.579478287826
2016,El Nino,2336.115135078613,262.5302347446806
2017,Neutral,2797.005545305655,377.42208999484006
2018,Neutral,2436.0013695599587,315.74956055065195
2019,Neutral,2884.080045243604,456.23506509682124
2020,La Nina,3178.1376386921493,512.5596065660458
2021,La Nina,3524.2599749145247,518.7802800462913
2022,La Nina,3780.6572839662203,535.259107296058
2023,El Nino,3803.9293307500484,564.1042240555521
2024,El Nino,3029.4065835588603,496.1096818934534
2025,Neutral,3643.5930077114213,532.5350281724653
