year,mean_lst_c,max_lst_c,min_lst_c
2015,23.884089097252946,37.54121951219514,4.81909090909096
2016,24.12939475688554,38.26850000000002,8.460000000000036
2017,23.83969636718907,34.465384615384664,7.935714285714312
2018,23.510518687142756,35.80534883720935,4.644736842105317
2019,23.426408173125196,35.297179487179505,-4.789999999999964
2020,23.926839703916862,35.36024390243904,9.547500000000014
2021,23.233221755265692,33.610000000000014,5.975999999999999
2022,23.392136292375195,32.37829268292688,9.51888888888891
2023,23.574282290758273,34.02707317073174,8.23952380952386
2024,23.212529099241923,33.309000000000026,8.294666666666728
2025,21.782217194986472,30.06459459459461,6.690000000000055
